company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
EkAnek,1970,Delhi,Technology Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India",5040000.0,others,2020-01-01
Cub McPaws,1970,Mumbai,Augmented Reality and AR/VR,Cub McPaws is a kids clothing brand.,"Shah, Abhay Bhat",Venture Catalysts,800000.0,early traction,2020-01-01
Zimyo,1970,Gurgaon,Human Resources and HR Technology,Employee experience platform that empowers organizations to manage and retain great talent!,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil",1500000.0,validation,2020-01-01
PumPumPum,1970,Gurgaon,Automotive,Pumpumpum is a car rental company,"Tarun Lawadia, Sameer Kalra",,360000.0,others,2020-01-01
Burgerama,1970,Gurgaon,Food and Beverages,Burgerama is a unit of Junket Foods Private Limited,Kabir Bose,"Madison, Anicut",0.0,early traction,2020-01-01
Moms Co,1970,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital",8000000.0,early traction,2020-01-01
DillyHub,1970,Seoul,Media and Entertainment,A service that promotes and facilitates the works of independent comic artists,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital",1400000.0,validation,2020-01-01
FPL Technologies,1970,Pune,Fintech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",10000000.0,early traction,2020-01-01
FITTR,1970,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,2000000.0,early traction,2020-01-01
Illumnus,1970,Pune,Education Technology,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities","Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,100000.0,validation,2020-01-01
CashKaro,1970,Gurgaon,Business-to-Business E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital",10000000.0,early traction,2020-01-01
Newton School,1970,Bangalore,Education Technology,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,650000.0,validation,2020-01-01
